Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy ,Financials,Health Care,Information Technology,Materials,Real Estate,Utilities,Industrials
2017-04-28,249.6121521,1733.707423,1932.976644,1305.432073,1246.210322,1293.587723,1281.743373,1463.914279,1465.367405,1342.709196,1768.65529
2017-05-02,247.7692566,1734.824302,1948.810566,1310.468042,1264.303108,1301.235055,1292.002068,1469.044949,1474.384013,1351.906206,1793.23975
2017-05-03,247.359726,1724.797593,1953.684919,1308.61408,1245.113453,1295.913954,1283.213829,1463.322332,1467.808594,1343.997707,1785.60072
2017-05-04,250.34935,1721.971019,1955.886946,1309.402438,1240.606378,1295.643226,1281.884014,1454.068845,1465.637552,1341.207075,1788.14511
2017-05-05,253.5437012,1727.888453,1948.578692,1310.003615,1242.708714,1296.544635,1283.085655,1477.853074,1469.523262,1346.619826,1815.6147
2017-05-08,251.1274567,1731.137901,1962.670637,1314.978665,1249.717668,1301.926466,1288.874266,1464.730525,1473.433733,1348.943554,1801.68182
2017-05-09,250.6360016,1740.840065,1977.528549,1323.001539,1258.732049,1310.147641,1297.293743,1480.182702,1483.960898,1358.886429,1812.05516
2017-05-10,255.4685059,1747.370969,1987.621504,1330.153659,1261.27977,1316.378882,1302.604104,1487.727868,1490.448108,1364.765398,1818.18724
2017-05-11,243.9605713,1744.663333,1984.287653,1324.303852,1259.814574,1311.405997,1298.508141,1500.264296,1489.035406,1363.888711,1818.43585
2017-05-12,250.5950623,1747.625551,1992.051285,1330.090633,1262.598131,1316.592132,1303.093632,1501.196306,1493.321096,1367.815322,1819.44162
2017-05-15,248.5883179,1739.948179,1990.249529,1326.262009,1268.028352,1314.615277,1302.968546,1507.437583,1492.787068,1368.683139,1813.43591
2017-05-16,253.789444,1765.292092,2014.887518,1344.656351,1264.87254,1328.699589,1312.742827,1523.598737,1507.821379,1380.398571,1807.96832
2017-05-17,253.1341553,1758.93222,2027.595642,1346.554006,1259.521154,1329.147436,1311.740865,1514.522959,1506.859183,1378.057601,1811.93212
2017-05-18,253.0522461,1761.104455,2017.398506,1343.851736,1251.979834,1325.477355,1307.102975,1509.629549,1502.363487,1373.400823,1815.26835
2017-05-19,255.1818542,1772.873614,2028.479181,1352.178217,1254.128552,1332.568284,1312.958351,1518.524152,1510.244336,1380.100315,1810.77845
2017-05-22,257.8847961,1792.763161,2042.167402,1364.271786,1264.964978,1344.410425,1324.549063,1522.064529,1522.170192,1390.405162,1803.93846
